"DisplayCategory","ProductHeaderCode","ProductHeader","PHOrder","effective_date","price","RowError","RowState","Table","ItemArray","HasErrors","SideIndicator","SourceFile"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/02/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/03/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/04/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/05/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/06/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/07/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/08/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/09/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/10/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/11/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/12/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/13/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/14/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/15/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/16/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/22/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/23/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/24/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/25/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/26/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/27/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/28/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/29/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/30/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/01/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/02/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/03/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/04/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/05/2023 12:00:00 AM","1251","","Unchanged","","System.Object[]","False","<=","2024-01-29-PrivateRateIncrease.xlsx"
